,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
410,456,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
411,457,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
412,458,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
413,458,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
414,459,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
415,424,ADVANCE MANAGEMENT ACCOUNTING,"KAPLAN, ATKINSON",PEARSON EDUCATION,,Accounting,
416,2061,BUSINESS STATISTICS,S K SHARMA ,PEARSON EDUCATION,,STATISTICS,
417,608,MATHAMATICS STATISTICS,"AJAY GOEL, ALKA GOEL",TATA MCGRAW HILL,,STATISTICS,
418,558,STATISTICAL METHODS,S P GUPTA,S CHAND PUBLICATION,,STATISTICS,
419,547,COMPLETE BUSINESS STATISTICS,"AMIR DACZEL, SOANDER PANDIAR",TATA MCGRAW HILL,,STATISTICS,
420,550,COMPLETE BUSINESS STATISTICS,"AMIR DACZEL, SOANDER PANDIAR",TATA MCGRAW HILL,,STATISTICS,
421,Z4002,BUSINESS STATISTICS FOR CONTEMPORARY DECISION MAKING,KEN BLACK,WILEY,,STATISTICS,
422,Z4003,STATISTICS FOR MANAGEMENT,"RICHARD LEVIN, DAVID RUBIN ",PEARSON EDUCATION,,STATISTICS,
423,566,A TEXTBOOK OF BUSINESS STATISTICS,PADMLOCHAN HAZARIKA,S CHAND PUBLICATION,,STATISTICS,
424,537,STATISTICAL TOOLS FOR MANAGERS USING MS EXCEL,D P PATEL ,EXCEL BOOKS,,STATISTICS,
425,1175,STATISTICAL TOOLS FOR MANAGERS USING MS EXCEL,D P PATEL ,EXCEL BOOKS,,STATISTICS,
426,225,BUSINESS MATHAMATICS,V K KAPOOR,S CHAND PUBLICATION,,STATISTICS,
427,227,BUSINESS MATHAMATICS,"QAZI ZAMIRUDIN, S K BHAMBRI, V K KHANNA",VIKAS PUBLISHING HOUSE,,STATISTICS,
428,Z6001,JAIV VIVIDHATA,K H GOHIL,,,GENERAL ,
429,Z6002,CHUTELA SHER SHRENI,AMRUT GHAYAL,,,GENERAL ,
430,Z6003,CHHAND ANE ALANKAR,RAKSHABEN DAVE,,,KSKV(B.A.),
431,Z6004,SAMAS ANE SANDHI,PRAHLAD CHAUDHARI,,,KSKV(B.A.),
432,Z6005,GUJRATI BHASHA SWAROOP ANE VIKAS,,,,KSKV(B.A.),
433,Z6006,SAHITYA VIVECHAN NA SIDHDHANTO,,,,KSKV(B.A.),
434,Z6007,GUJRATI SAHITYA MADHYAKAL,,,,KSKV(B.A.),
435,Z6008,SWATANTROYATAR SAHITYA ADHUNIK YUG NO AABHYASH,,,,KSKV(B.A.),
436,Z6009,ARVACHIN GUJRATI SAHITYA NO ITIHAS,,,,KSKV(B.A.),
437,Z6010,VIDISHA,,,,KSKV(B.A.),
438,Z6011,SAHITYA SWAROOP KHANDKAVYO,,,,KSKV(B.A.),
439,Z6012,KALAPI NA SHRESHTH KAVYO,,,,KSKV(B.A.),
440,Z6013,AANGALIYAT,,,,KSKV(B.A.),
441,Z6014,SHIYALANI SAWAR NO TADKO,,,,KSKV(B.A.),
442,Z6015,GANGOTRI,,,,KSKV(B.A.),
443,Z6016,MELO,,,,KSKV(B.A.),
444,Z6017,MEGHLI RAAT,,,,KSKV(B.A.),
445,Z6018,"SAHITYA, SAMUH MADHYAM ANE LEKHAN KAUSHAL",,,,KSKV(B.A.),
446,1122,MULTINATIONAL FINANCIAL MANAGEMENT,ALAN SHAPIRO,WILEY,,FINANCE,
447,Z4001,INDIAN FINANCIAL SYSTEM,KHAN,TATA MCGRAW HILL,,FINANCE,
448,Z2125,FINANCIAL SERVICES AND SYSTEM,"K SHASHIDHARAN, ALEX MATHEWS",TATA MCGRAW HILL,,FINANCE,
449,615,FINANCIAL SERVICES AND SYSTEM,"K SHASHIDHARAN, ALEX MATHEWS",TATA MCGRAW HILL,,FINANCE,
450,610,STRATEGIC FINANCIAL MANAGEMENT ,RAVI KISHORE ,TAXMANN,,FINANCE,
451,Z2218,STRATEGIC FINANCIAL MANAGEMENT ,RAVI KISHORE ,TAXMANN,,FINANCE,
452,630,STRATEGIC FINANCIAL MANAGEMENT ,RAVI KISHORE ,TAXMANN,,FINANCE,
453,631,STRATEGIC FINANCIAL MANAGEMENT ,RAVI KISHORE ,TAXMANN,,FINANCE,
454,471,MATERIAL AND FINANCIAL MANAGEMENT,"C M SADIWALA, RITESH SADIWALA",NEW AGE INTERNATIONAL PUBLICATION,,FINANCE,
455,485,INDIAN FINANCIAL SYSTEM,H R MACHIRAJU,VIKAS PUBLISHING HOUSE,,FINANCE,
456,483,INTERNATIONAL FINANCIAL MANAGEMENT,V SHARAN,PHI,,FINANCE,
457,1110,INTERNATIONAL FINANCIAL MANAGEMENT,V SHARAN,PHI,,FINANCE,
458,470,INTERNATIONAL FINANCIAL MANAGEMENT,V SHARAN,PHI,,FINANCE,
459,480,FINANCIAL MANAGEMENT,PARESH SHAH,BIZTANTRA PUBLICATION,,FINANCE,
460,Z2210,INDIAN FINANCIAL SYSTEM,PRASSAND CHANDRA,PEARSON EDUCATION,,FINANCE,
461,2215,INDIAN FINANCIAL SYSTEM,PRASSAND CHANDRA,PEARSON EDUCATION,,FINANCE,
462,Z2212,INDIAN FINANCIAL SYSTEM,PRASSAND CHANDRA,PEARSON EDUCATION,,FINANCE,
463,Z2213,INDIAN FINANCIAL SYSTEM,PRASSAND CHANDRA,PEARSON EDUCATION,,FINANCE,
464,Z3022,FINANCIAL SERVICES IN INDIA,V A AVADHANI,HIMALAYA PUBLISHING HOUSE,,FINANCE,
465,Z5124,FINANCIAL INSTITUTIONAL AND MARKETS,L M BHOLE,TATA MCGRAW HILL,,FINANCE,
466,476,FINANCIAL INSTITUTIONAL AND MARKETS,L M BHOLE,TATA MCGRAW HILL,,FINANCE,
467,1215,INTERNATIONAL FINANCIAL MANAGEMENT,"EUN, RENSIK",MCGRAW HILL,,FINANCE,
468,378,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
469,374,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
470,386,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
471,381,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
472,380,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
473,Z2199,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
474,Z2200,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
475,Z2201,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
476,Z2202,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
477,Z2203,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
478,Z2204,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
479,Z2205,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
480,Z2206,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
481,Z2207,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
482,Z2208,ESSENTIALS OF FINANCIAL MANAGEMENT,I M PANDEY,PEARSON EDUCATION,,FINANCE,
483,1208,FUNDAMENTALS OF FINSNCIAL MANAGEMENT,"VAN HORNE, WACHOWICZ JR",PHI,,FINANCE,
484,478,FINANCIAL MANAGEMENT,"S P SRINIVASAN, B JANKIRAM",BIZTANTRA PUBLICATION,,FINANCE,
485,479,FINANCIAL MANAGEMENT,"S P SRINIVASAN, B JANKIRAM",BIZTANTRA PUBLICATION,,FINANCE,
486,481,FINANCIAL MANAGEMENT,"S P SRINIVASAN, B JANKIRAM",BIZTANTRA PUBLICATION,,FINANCE,
487,509,FINANCIAL MANAGEMENT,"S P SRINIVASAN, B JANKIRAM",BIZTANTRA PUBLICATION,,FINANCE,
488,Z2185,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
489,Z2186,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
490,482,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
491,Z2151,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
492,Z2187,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
493,Z2150,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
494,Z2188,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
495,Z2148,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
496,Z2189,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
497,Z3011,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
498,Z2190,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
499,Z3010,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
500,Z2185,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
501,Z2191,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
502,Z2192,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
503,Z2193,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
504,Z2194,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
505,Z2195,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
506,Z2196,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
507,Z2197,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
508,Z2198,FINANCIAL MANAGEMENT THEORY AND PRACTICE,PRASSANNA CHANDRA,MCGRAW HILL,,FINANCE,
509,315,PRINCIPLES OF MICROECONOMICS,MANKIW,THOMSON PUBLICATION ,,ECONOMICS,
510,283,PRINCIPLES OF MICROECONOMICS,MANKIW,THOMSON PUBLICATION ,,ECONOMICS,
511,314,PRINCIPLES OF MICROECONOMICS,MANKIW,THOMSON PUBLICATION ,,ECONOMICS,
512,284,PRINCIPLES OF MICROECONOMICS,MANKIW,THOMSON PUBLICATION ,,ECONOMICS,
513,285,PRINCIPLES OF MICROECONOMICS,MANKIW,THOMSON PUBLICATION ,,ECONOMICS,
514,231,MICROECONOMICS,M JOHN KENNEDY,HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
515,313,INDIAN ECONOMY,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
516,282,INDIAN ECONOMY,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
517,281,INDIAN ECONOMY,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
518,Z2180,INDIAN ECONOMY,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
519,1238,MICROECONOMIC THEORY,M L JHINGAN,VRINDA PUBLICATION,,ECONOMICS,
520,1251,MICROECONOMIC THEORY,M L JHINGAN,VRINDA PUBLICATION,,ECONOMICS,
521,309,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
522,273,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
523,274,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
524,Z2250,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
525,271,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
526,272,INDIAN ECONOMY,"MISRA, PURI",HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
527,1173,ECONOMICS,"LIPSEY, CHRYSTAL",OXFORD,,ECONOMICS,
528,1216,ECONOMICS,"LIPSEY, CHRYSTAL",OXFORD,,ECONOMICS,
529,335,MENEGERIAL ECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
530,336,MENEGERIAL ECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
531,334,MENEGERIAL ECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
532,345,MENEGERIAL ECONOMICS,"KEATING, WILSON",BIZTANTRA PUBLICATION,,ECONOMICS,
533,346,MENEGERIAL ECONOMICS,"KEATING, WILSON",BIZTANTRA PUBLICATION,,ECONOMICS,
534,316,MENEGERIAL ECONOMICS,"KEATING, WILSON",BIZTANTRA PUBLICATION,,ECONOMICS,
535,1132,BANKING AND INSURANCE,O P AGRAWAL,HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
536,1133,BANKING AND INSURANCE,O P AGRAWAL,HIMALAYA PUBLISHING HOUSE,,ECONOMICS,
537,2346,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
538,2187,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
539,2279,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
540,2213,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
541,302,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
542,306,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
543,305,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
544,197,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
545,300,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
546,307,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
547,308,MACROECONOMICS,G S GUPTA,TATA MCGRAW HILL,,ECONOMICS,
548,1248,MICROECONOMICS,S K AGRAWAL,EXCEL BOOKS,,ECONOMICS,
549,1249,MICROECONOMICS,S K AGRAWAL,EXCEL BOOKS,,ECONOMICS,
550,1252,INDIAN ECONOMY PROBLEMS OF DEVLOPMENT AND PLANNING,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
551,1257,INDIAN ECONOMY PROBLEMS OF DEVLOPMENT AND PLANNING,A N AGRAWAL,NEW AGE INTERNATIONAL PUBLICATION,,ECONOMICS,
552,337,MANAGERIAL ECONOMICS,"H CRAIG PETERSEN, W CRIS LEWIS",PHI,,ECONOMICS,
553,319,MANAGERIAL ECONOMICS,D N DWIVEDI,VIKAS PUBLISHING HOUSE,,ECONOMICS,
554,286,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
555,2192,ECONOMICS PRINCIPLES AND APPLICATION,MANKIW,CENAGE LEARING,,ECONOMICS,
556,Z3074,MANAGERIAL ECONOMICS,H L AHUJA,S CHAND PUBLICATION,,ECONOMICS,
557,310,MACROECONOMICS,"DORNBUSH, FISHER, STRARTZ",TATA MCGRAW HILL,,ECONOMICS,
558,311,MACROECONOMICS,"DORNBUSH, FISHER, STRARTZ",TATA MCGRAW HILL,,ECONOMICS,
559,287,THE NEW MANAGERIAL ECONOMICS,WILLIAM BOYES,BIZTANTRA PUBLICATION,,ECONOMICS,
560,294,THE NEW MANAGERIAL ECONOMICS,WILLIAM BOYES,BIZTANTRA PUBLICATION,,ECONOMICS,
561,343,THE NEW MANAGERIAL ECONOMICS,WILLIAM BOYES,BIZTANTRA PUBLICATION,,ECONOMICS,
562,388,MANAGERIAL ECONOMICS PROBLEM SOLVING APPROCH,FRED MCCAN,THOMSON PUBLICATION ,,ECONOMICS,
563,278,INTERNATIONAL ECONOMICS,H G MANNAR,VIKAS PUBLISHING HOUSE,,ECONOMICS,
564,310,INTERNATIONAL ECONOMICS,H G MANNAR,VIKAS PUBLISHING HOUSE,,ECONOMICS,
565,280,INTERNATIONAL ECONOMICS,H G MANNAR,VIKAS PUBLISHING HOUSE,,ECONOMICS,
566,279,INTERNATIONAL ECONOMICS,H G MANNAR,VIKAS PUBLISHING HOUSE,,ECONOMICS,
567,330,MANAGERIAL ECONOMICS CONSEPT AND CASES,"V L MOTE, SAMMUEL, G S GUPTA",TATA MCGRAW HILL,,ECONOMICS,
568,331,MANAGERIAL ECONOMICS CONSEPT AND CASES,"V L MOTE, SAMMUEL, G S GUPTA",TATA MCGRAW HILL,,ECONOMICS,
569,332,MANAGERIAL ECONOMICS CONSEPT AND CASES,"V L MOTE, SAMMUEL, G S GUPTA",TATA MCGRAW HILL,,ECONOMICS,
570,325,MANAGERIAL ECONOMICS CONSEPT AND CASES,"V L MOTE, SAMMUEL, G S GUPTA",TATA MCGRAW HILL,,ECONOMICS,
571,340,TEXTBOOK OF ECONOMICS ,"WILLIAM BOYES, MICHEL MELVIN",BIZTANTRA PUBLICATION,,ECONOMICS,
572,342,TEXTBOOK OF ECONOMICS ,"WILLIAM BOYES, MICHEL MELVIN",BIZTANTRA PUBLICATION,,ECONOMICS,
573,181,MANGERIAL MECHANICS,"ERIC P BLOOM, S K MANDAL",INFINITY BOOKS,,GENERAL (C2R1),
574,Z3078,MANGERIAL MECHANICS,"ERIC P BLOOM, S K MANDAL",INFINITY BOOKS,,GENERAL (C2R1),
575,986,TOTAL QULITY MANGEMENT,S K MANDAL,VIKAS PUBLISHING HOUSE,,GENERAL (C2R1),
576,504,SECURATY ANALYSIS AND PORTFOLIO MANAGEMENT,V A AVADHANI,HIMALAYA PUBLISHING HOUSE,,GENERAL (C2R1),
577,Z3079,STRATEGIC BRAND MANAGEMENT ,"KEVIN LANE, KELLER",PEARSON EDUCATION,,GENERAL (C2R1),
578,125,50 CASE STUDIES IN MANAGEMENT TRAINING,ALAN CLARDY,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
579,131,50 CASE STUDIES IN MANAGEMENT TRAINING,ALAN CLARDY,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
580,Z3065,GROWTH AND STRUCURE OF INDUSTRIES,"H K TRIVEDI, P M NARIELWALA",B S SHAH PRAKASHAN,,GENERAL (C2R1),
581,141,CREATIVITY,A DALE TIMPLE,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
582,101,CREATIVITY,A DALE TIMPLE,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
583,126,CREATIVITY,A DALE TIMPLE,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
584,Z3067,INTERNATIONAL JOURNAL OF RURAL MANAGEMENT ,DEBIPRASHAD MISRA,,,GENERAL (C2R1),
585,Z3068,IN THE WONDERLAND OF INDIAN MANAGERS,R K LAXMAN,VIKAS PUBLISHING HOUSE,,GENERAL (C2R1),
586,Z3070,A COURSE IN LISENING AND SPEACKEING,"V SASIKARAN, P KIRANMAI DUTT, GEETA RAJEEVAN",FOUNFATION BOOKS,,GENERAL (C2R1),
587,617,REVIEW OF MARKET INTEGRATION ,SUBHASHIS GANGOPADHYAY,SAGE PUBLICTION,,GENERAL (C2R1),
588,Z3070,REASEACH METHODS,WILLIAM M K TROCHIM,BIZTANTRA PUBLICATION,,GENERAL (C2R1),
589,972,PRODUCTION AND OPERATIONS MANAGEMENT,"S A CHUNNAWALA, D R PATEL",HIMALAYA PUBLISHING HOUSE,,GENERAL (C2R1),
590,830,BUSINESS RESEARCH METHODOLOGY,J K SACHDEVA,HIMALAYA PUBLISHING HOUSE,,GENERAL (C2R1),
591,Z3075,SECRETRIAL PRACTICES,M C KUCHHAL,VIKAS PUBLISHING HOUSE,,GENERAL (C2R1),
592,1131,PRODUCTION AND OPERATIONS MANAGEMENT,UPENDRA KACHRU,EXCEL BOOKS,,GENERAL (C2R1),
593,1001,PRODUCTION AND OPERATIONS MANAGEMENT,UPENDRA KACHRU,EXCEL BOOKS,,GENERAL (C2R1),
594,984,PURCHASING AND MATERIAL MANAGEMENT,N K NAIR,VIKAS PUBLISHING HOUSE,,GENERAL (C2R1),
595,Z3076,PURCHASING AND MATERIAL MANAGEMENT,N K NAIR,VIKAS PUBLISHING HOUSE,,GENERAL (C2R1),
596,Z3077,INTERNATIONAL RELATION IN INDIA THEORISING  THE REGION AND NATION,"KANTI BAJPAI, SIDDHARTH MALLAVARAPU",ORIENT LONGMAN,,GENERAL (C2R1),
597,175,CLOSING THE SALE A COMPLETE BOOK ON THE ART OF SELLING,BAN GAY 3,INFINITY BOOKS,,GENERAL (C2R1),
598,721,RETAIL SELLING ,PETER FLEMING,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
599,714,RETAIL SELLING ,PETER FLEMING,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
600,Z3078,INCOME TAX,"VINOD SINGAHNIA, MONICA SINGHANIA",TAXMANN,,GENERAL (C2R1),
601,1313,FINANCIAL STATEMENT ANALYSIS AND VALUEATION  CONSEPT AND CASES,"PRATAPSINGH CHAUHAN, VISHAL PATIDAR",,,GENERAL (C2R1),
602,Z3051,GETTING HARD,DAVID HILL,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
603,Z3052,STRATEGIC PLANNING WORKBOOK,NEVILLE LAKE,KOGAN PAGE,,GENERAL (C2R1),
604,760,RETAIL MANAGEMENT FUNCTIONAL PRINCIPLES AND PRACTICES,"GIBSON, G VEDAMANI ",JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
605,Z2487,INVESTMENT MANAGEMENT,V K BHANU,S CHAND PUBLICATION,,GENERAL (C2R1),
606,Z3053,STRETEGIC MANAGEMENT AND BUSINESS POLICY,AZHAR KAZMI,TATA MCGRAW HILL,,GENERAL (C2R1),
607,Z3045,THE ENTHUSIASTIC EMPLOYEE,"SITORA, MISCHKIND, MELTZER",PEARSON EDUCATION,,GENERAL (C2R1),
608,598,MANAGEMENT RESEARCH AND MATHADOLOGY,"KRISHNASWAMY, SHIVKUMAR, M MATHI",JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
609,597,MANAGEMENT RESEARCH AND MATHADOLOGY,"KRISHNASWAMY, SHIVKUMAR, M MATHI",JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
610,559,QUANTITATIVE TECHNIQUES IN BUSINESS,ADITHAM RAO,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
611,1191,CHANGE MANAGEMENT IN ORGANIZATIN,MARK HUGHES,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
612,981,SUPPLY CHAIN MODELLING AND SOLUTIONS,"B S SAHAY, A K GUPTA",MACMILLAN EDUCATION,,GENERAL (C2R1),
613,Z3056,TOURSIUM PROMOTION AND DEVLOPMENT,"G S BATRA, R C DANGAAL",DD,,GENERAL (C2R1),
614,81,CREATING CULTURE CHANGE ,PHILIP ATKINSON,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
615,82,CREATING CULTURE CHANGE ,PHILIP ATKINSON,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
616,83,CREATING CULTURE CHANGE ,PHILIP ATKINSON,JAICO PUBLISHING HOUSE ,,GENERAL (C2R1),
617,1121,INTRODUCTION TO BANKING,VIJAYAGAVAN IYENGER,EXCEL BOOKS,,GENERAL (C2R1),
618,1101,INTRODUCTION TO BANKING,VIJAYAGAVAN IYENGER,EXCEL BOOKS,,GENERAL (C2R1),
619,702,RETAILING PRINCIPLE AND PRACTICE,D P SHARMA,HIMALAYA PUBLISHING HOUSE,,GENERAL (C2R1),
620,Z3059,PUBLIC SPEAKING,"MICHEAL OBSORN, SUZANNE OBSERN",BIZTANTRA PUBLICATION,,GENERAL (C2R1),
621,1195,SALES MANAGEMENT,"RICHARD STILL, EDWARD CUNDIFF, VORMAN GOVONI",,,GENERAL (C2R1),
622,1218,SALES MANAGEMENT,"RICHARD STILL, EDWARD CUNDIFF, VORMAN GOVONI",,,GENERAL (C2R1),
623,628,CORPORATE FINANCE,ASWATH RAMODARAN,,,GENERAL (C2R1),
624,613,CORPORATE FINANCE,ASWATH RAMODARAN,,,GENERAL (C2R1),
625,611,CORPORATE FINANCE,ASWATH RAMODARAN,,,GENERAL (C2R1),
626,607,CORPORATE FINANCE,ASWATH RAMODARAN,,,GENERAL (C2R1),
627,612,CORPORATE FINANCE,ASWATH RAMODARAN,,,GENERAL (C2R1),
628,119,PRACTICLE MANAGEMENT SCIENCE,"WINSTON, ALBRIGHT",,,GENERAL (C2R1),
629,172,PRACTICLE MANAGEMENT SCIENCE,"WINSTON, ALBRIGHT",,,GENERAL (C2R1),
630,785,CONTEMPORARY BUSINESS COMMNUNICATION,SCOTOBER,,,GENERAL (C2R1),
631,910,CONTEMPORARY BUSINESS COMMNUNICATION,SCOTOBER,,,GENERAL (C2R1),
632,1024,PRODUCTION AND OPERATIONS MANAGEMENT,JOSHEPH S MARTINICH,,,GENERAL (C2R1),
633,Z2175,PRODUCTION AND OPERATIONS MANAGEMENT,JOSHEPH S MARTINICH,,,GENERAL (C2R1),
