,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
163,1178,ORGANIZATIONAL DESIGN AND DEVLOPMENT CONSEPTS AND APPLICTIONS,BHUPEN SHRIVASTAVA,BIZTANTRA PUBLICATION,,ORGANIZATIONAL BEHAVIOR,
164,Z2165,ORGANIZATIONAL BEHAVIOR,NIRAJ KUMAR,HIMALAYA PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
165,1225,ORGANIZATIONAL BEHAVIOR,NIRAJ KUMAR,HIMALAYA PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
166,1184,EXPERIMENTAL APPROACH IN ORGANIZATIONAL DEVELOPMENT,"BROWN, HARVEY",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
167,541,EXPERIMENTAL APPROACH IN ORGANIZATIONAL DEVELOPMENT,"BROWN, HARVEY",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
168,1161,EXPERIMENTAL APPROACH IN ORGANIZATIONAL DEVELOPMENT,"BROWN, HARVEY",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
169,1160,EXPERIMENTAL APPROACH IN ORGANIZATIONAL DEVELOPMENT,"BROWN, HARVEY",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
170,1164,EXPERIMENTAL APPROACH IN ORGANIZATIONAL DEVELOPMENT,"BROWN, HARVEY",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
171,79,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
172,78,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
173,77,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
174,1622,ORGANIZATION DEVLOPMENT AND CHANGE,"COMMINGS, WORLEY",cengage education,,ORGANIZATIONAL BEHAVIOR,
175,1165,ORGANIZATION DEVLOPMENT AND CHANGE,"COMMINGS, WORLEY",cengage education,,ORGANIZATIONAL BEHAVIOR,
176,948,ORGANIZATIONAL BEHAVIOR,UMA SEKARAN,TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
